device_id,first_seen,last_seen,unique_facilities,path_steps,path
2289989191670610920,2026-04-20 15:13:11+00:00,2026-04-20 15:13:11+00:00,2,2,66330 -> 66331
7171032862836741621,2026-04-25 21:46:42+00:00,2026-04-25 21:46:42+00:00,2,2,66330 -> 66331
-1399431867610467276,2026-04-23 14:12:42+00:00,2026-04-23 14:12:42+00:00,2,2,66333 -> 66342
-3331282867080443739,2026-04-22 16:22:08+00:00,2026-04-22 16:22:08+00:00,2,2,66330 -> 66331
8915325696658824076,2026-04-26 16:59:36+00:00,2026-04-26 17:02:55+00:00,2,2,66340 -> 66342
-2335536992550314201,2026-04-22 18:03:49+00:00,2026-04-22 18:03:49+00:00,2,2,66330 -> 66331
3458369323331476783,2026-04-26 10:02:06+00:00,2026-04-26 10:02:07+00:00,2,2,66333 -> 66342
-2116418589172036136,2026-04-21 16:18:44+00:00,2026-04-21 16:18:44+00:00,2,2,66330 -> 66331
8945317012402055233,2026-04-26 09:46:18+00:00,2026-04-26 14:01:59+00:00,2,2,66336 -> 66335
-7712667173695424928,2026-04-24 09:34:26+00:00,2026-04-24 09:34:28+00:00,2,2,66332 -> 66342
6141090361684312378,2026-04-21 20:55:55+00:00,2026-04-21 20:55:55+00:00,2,2,66330 -> 66331
6662991890363267576,2026-04-22 17:02:33+00:00,2026-04-22 17:42:17+00:00,2,2,66330 -> 66332
6948370306117420770,2026-04-22 10:57:09+00:00,2026-04-22 10:57:10+00:00,2,2,66330 -> 66331
-2232242677289052524,2026-04-26 11:11:26+00:00,2026-04-26 11:11:26+00:00,2,2,66335 -> 66336
3500835507344892417,2026-04-23 08:58:53+00:00,2026-04-23 10:14:25+00:00,3,3,66342 -> 66333 -> 66335
-8352248754577638624,2026-04-24 16:00:15+00:00,2026-04-24 16:00:15+00:00,2,2,66331 -> 66332
6592320472187490447,2026-04-25 19:36:23+00:00,2026-04-25 19:36:23+00:00,2,2,66333 -> 66342
-3547538921083996140,2026-04-23 14:35:28+00:00,2026-04-23 14:35:28+00:00,2,2,66330 -> 66331
5533217656016435755,2026-04-22 11:49:23+00:00,2026-04-22 11:49:23+00:00,2,2,66330 -> 66331
6722901933425639541,2026-04-20 21:33:38+00:00,2026-04-20 21:33:38+00:00,2,2,66330 -> 66331
-6335769633926214523,2026-04-25 12:27:44+00:00,2026-04-25 12:27:44+00:00,2,2,66333 -> 66342
-3948270072912933547,2026-04-24 10:42:31+00:00,2026-04-24 10:49:02+00:00,4,4,66332 -> 66342 -> 66330 -> 66331
2534071057880723072,2026-04-24 12:59:59+00:00,2026-04-24 12:59:59+00:00,2,2,66333 -> 66342
-9065691056987582150,2026-04-25 21:41:07+00:00,2026-04-25 21:41:08+00:00,2,2,66333 -> 66342
-8823870274264839261,2026-04-20 15:11:44+00:00,2026-04-20 15:14:34+00:00,2,2,66342 -> 66340
-9177922236915397998,2026-04-24 09:59:16+00:00,2026-04-24 09:59:16+00:00,2,2,66330 -> 66331
-4786097562712440020,2026-04-22 14:16:20+00:00,2026-04-22 14:16:20+00:00,2,2,66330 -> 66331
6199174279842857766,2026-04-22 09:46:10+00:00,2026-04-22 09:46:10+00:00,2,2,66330 -> 66331
3182492132374020829,2026-04-26 16:34:56+00:00,2026-04-26 16:34:57+00:00,2,2,66342 -> 66333
-7452926169293011126,2026-04-24 04:24:36+00:00,2026-04-25 11:56:34+00:00,2,2,66330 -> 66331
-6133793121105341422,2026-04-25 19:05:11+00:00,2026-04-25 19:05:11+00:00,2,2,66330 -> 66331
5095698235821554997,2026-04-20 09:57:55+00:00,2026-04-20 09:57:55+00:00,2,2,66336 -> 66340
4136832030336311394,2026-04-26 09:54:20+00:00,2026-04-26 09:54:20+00:00,2,2,66333 -> 66342
4548990848056679145,2026-04-25 16:00:53+00:00,2026-04-25 16:00:54+00:00,2,2,66333 -> 66342
-2239914453784058173,2026-04-23 14:12:32+00:00,2026-04-26 10:59:49+00:00,2,4,66342 -> 66333 -> 66342 -> 66333
-8014998013693696492,2026-04-24 19:30:31+00:00,2026-04-24 19:30:32+00:00,2,2,66340 -> 66342
1377126272318225,2026-04-25 01:18:36+00:00,2026-04-25 01:18:36+00:00,3,3,66340 -> 66333 -> 66342
-500852241646892327,2026-04-26 16:19:53+00:00,2026-04-26 16:19:53+00:00,2,2,66333 -> 66342
9088042743560452825,2026-04-22 07:07:26+00:00,2026-04-22 07:07:26+00:00,2,2,66330 -> 66331
-8883384001008237033,2026-04-25 13:55:50+00:00,2026-04-25 13:55:50+00:00,2,2,66333 -> 66342
2479110790699922504,2026-04-24 12:11:13+00:00,2026-04-24 12:21:51+00:00,3,3,66335 -> 66336 -> 66340
90713471236835807,2026-04-21 11:54:49+00:00,2026-04-21 11:54:49+00:00,2,2,66330 -> 66331
6476407260228263293,2026-04-20 05:43:34+00:00,2026-04-20 05:43:34+00:00,2,2,66330 -> 66331
7231850858512254452,2026-04-24 10:04:17+00:00,2026-04-24 10:04:17+00:00,2,2,66333 -> 66342
6752664471501157070,2026-04-26 06:17:25+00:00,2026-04-26 06:17:25+00:00,2,2,66333 -> 66342
